phi	theta	svalue
5	5	100
5	10	100
5	15	100
5	20	100
5	25	100
5	30	100
5	35	100
5	40	100
5	45	100
5	50	100
5	55	100
5	60	100
5	65	100
5	70	100
5	75	100
5	80	100
5	85	100
5	90	100
5	95	100
5	100	100
5	105	100
5	110	100
5	115	100
5	120	100
5	125	100
5	130	100
5	135	100
5	140	100
5	145	100
5	150	100
5	155	100
5	160	100
5	165	100
5	170	100
5	175	100
5	180	100
10	5	100
10	10	100
10	15	100
10	20	100
10	25	100
10	30	100
10	35	100
10	40	100
10	45	100
10	50	100
10	55	100
10	60	100
10	65	100
10	70	100
10	75	100
10	80	100
10	85	-0.56196831372549
10	90	-0.443557202614379
10	95	-0.388945333333333
10	100	-0.4114
10	105	100
10	110	100
10	115	100
10	120	100
10	125	100
10	130	100
10	135	100
10	140	100
10	145	100
10	150	100
10	155	100
10	160	100
10	165	100
10	170	100
10	175	100
10	180	100
15	5	100
15	10	100
15	15	100
15	20	100
15	25	100
15	30	100
15	35	100
15	40	100
15	45	100
15	50	100
15	55	100
15	60	100
15	65	100
15	70	100
15	75	100
15	80	-0.471542980392157
15	85	-0.307933612870789
15	90	-0.194055835093012
15	95	-0.360157299145299
15	100	-0.4114
15	105	-0.347121481481481
15	110	100
15	115	100
15	120	100
15	125	100
15	130	100
15	135	100
15	140	100
15	145	100
15	150	100
15	155	100
15	160	100
15	165	100
15	170	100
15	175	100
15	180	100
20	5	100
20	10	100
20	15	100
20	20	100
20	25	100
20	30	100
20	35	100
20	40	100
20	45	100
20	50	100
20	55	100
20	60	100
20	65	100
20	70	100
20	75	-0.523922222222222
20	80	-0.0417176470588236
20	85	0.309013942684766
20	90	0.383925053795877
20	95	0.0675506373626374
20	100	-0.170814285714286
20	105	-0.333395767195767
20	110	-0.149916203703704
20	115	100
20	120	100
20	125	100
20	130	100
20	135	100
20	140	100
20	145	100
20	150	100
20	155	100
20	160	100
20	165	100
20	170	100
20	175	100
20	180	100
25	5	100
25	10	100
25	15	100
25	20	100
25	25	100
25	30	100
25	35	100
25	40	100
25	45	100
25	50	100
25	55	100
25	60	100
25	65	100
25	70	-0.631686111111111
25	75	-0.311215
25	80	0.362518333333333
25	85	0.859559145299145
25	90	0.92724358974359
25	95	0.606462637362637
25	100	0.216985714285714
25	105	-0.15725873015873
25	110	-0.303001388888889
25	115	-0.0754601190476191
25	120	100
25	125	100
25	130	100
25	135	100
25	140	100
25	145	100
25	150	100
25	155	100
25	160	100
25	165	100
25	170	100
25	175	100
25	180	100
30	5	100
30	10	100
30	15	100
30	20	100
30	25	100
30	30	100
30	35	100
30	40	100
30	45	100
30	50	100
30	55	100
30	60	100
30	65	-0.374075
30	70	-0.520797222222222
30	75	-0.164348333333333
30	80	0.433812777777778
30	85	1.01575444444444
30	90	1.19712777777778
30	95	1.05604126984127
30	100	0.586479047619048
30	105	0.0708623809523809
30	110	-0.21924
30	115	-0.191469841269841
30	120	-0.152401071428571
30	125	100
30	130	100
30	135	100
30	140	100
30	145	100
30	150	100
30	155	100
30	160	100
30	165	100
30	170	100
30	175	100
30	180	100
35	5	100
35	10	100
35	15	100
35	20	100
35	25	100
35	30	100
35	35	100
35	40	100
35	45	100
35	50	100
35	55	100
35	60	100
35	65	-0.280175
35	70	-0.410316666666667
35	75	-0.168626111111111
35	80	0.204957222222222
35	85	0.562321111111111
35	90	0.854961111111111
35	95	0.935394444444444
35	100	0.677976666666667
35	105	0.263237777777778
35	110	-0.0491011111111111
35	115	-0.124738888888889
35	120	-0.149725555555556
35	125	100
35	130	100
35	135	100
35	140	100
35	145	100
35	150	100
35	155	100
35	160	100
35	165	100
35	170	100
35	175	100
35	180	100
40	5	100
40	10	100
40	15	100
40	20	100
40	25	100
40	30	100
40	35	100
40	40	100
40	45	100
40	50	100
40	55	100
40	60	-0.1369
40	65	-0.2549
40	70	-0.268966666666667
40	75	-0.161033333333333
40	80	-0.0120277777777778
40	85	0.139116666666667
40	90	0.456238888888889
40	95	0.64425
40	100	0.667976666666667
40	105	0.451948888888889
40	110	0.239032222222222
40	115	0.0686722222222222
40	120	-0.0761969135802469
40	125	-0.237976913580247
40	130	100
40	135	100
40	140	100
40	145	100
40	150	100
40	155	100
40	160	100
40	165	100
40	170	100
40	175	100
40	180	100
45	5	100
45	10	100
45	15	100
45	20	100
45	25	100
45	30	100
45	35	100
45	40	100
45	45	100
45	50	100
45	55	100
45	60	-0.153191666666667
45	65	-0.228302777777778
45	70	-0.181369444444444
45	75	-0.0927277777777778
