phi	theta	value
5	5	100
5	10	100
5	15	100
5	20	100
5	25	100
5	30	100
5	35	100
5	40	100
5	45	100
5	50	100
5	55	100
5	60	100
5	65	100
5	70	100
5	75	100
5	80	-0.7893
5	85	-0.71372
5	90	-0.4114
5	95	-0.4114
5	100	-0.4114
5	105	-0.4114
5	110	100
5	115	100
5	120	100
5	125	100
5	130	100
5	135	100
5	140	100
5	145	100
5	150	100
5	155	100
5	160	100
5	165	100
5	170	100
5	175	100
5	180	100
10	5	100
10	10	100
10	15	100
10	20	100
10	25	100
10	30	100
10	35	100
10	40	100
10	45	100
10	50	100
10	55	100
10	60	100
10	65	100
10	70	100
10	75	-0.7485
10	80	-0.7621
10	85	-0.560928
10	90	-0.4114
10	95	-0.4114
10	100	-0.4114
10	105	-0.4114
10	110	-0.05376
10	115	100
10	120	100
10	125	100
10	130	100
10	135	100
10	140	100
10	145	100
10	150	100
10	155	100
10	160	100
10	165	100
10	170	100
10	175	100
10	180	100
15	5	100
15	10	100
15	15	100
15	20	100
15	25	100
15	30	100
15	35	100
15	40	100
15	45	100
15	50	100
15	55	100
15	60	100
15	65	100
15	70	-0.7485
15	75	-0.7485
15	80	-0.7485
15	85	-0.451058823529412
15	90	-0.209308
15	95	-0.4114
15	100	-0.4114
15	105	-0.4114
15	110	-0.190533333333333
15	115	0.9138
15	120	100
15	125	100
15	130	100
15	135	100
15	140	100
15	145	100
15	150	100
15	155	100
15	160	100
15	165	100
15	170	100
15	175	100
15	180	100
20	5	100
20	10	100
20	15	100
20	20	100
20	25	100
20	30	100
20	35	100
20	40	100
20	45	100
20	50	100
20	55	100
20	60	100
20	65	-0.7485
20	70	-0.7485
20	75	-0.7485
20	80	-0.7485
20	85	1.2727
20	90	-0.152307692307692
20	95	-0.4114
20	100	-0.4114
20	105	-0.4114
20	110	-0.4114
20	115	0.2801375
20	120	0.9138
20	125	100
20	130	100
20	135	100
20	140	100
20	145	100
20	150	100
20	155	100
20	160	100
20	165	100
20	170	100
20	175	100
20	180	100
25	5	100
25	10	100
25	15	100
25	20	100
25	25	100
25	30	100
25	35	100
25	40	100
25	45	100
25	50	100
25	55	100
25	60	NA
25	65	-0.083925
25	70	-0.7485
25	75	-0.7485
25	80	1.2727
25	85	1.2727
25	90	1.2727
25	95	1.2727
25	100	0.0697714285714286
25	105	-0.4114
25	110	-0.4114
25	115	-0.29565
25	120	0.201771428571429
25	125	NA
25	130	100
25	135	100
25	140	100
25	145	100
25	150	100
25	155	100
25	160	100
25	165	100
25	170	100
25	175	100
25	180	100
30	5	100
30	10	100
30	15	100
30	20	100
30	25	100
30	30	100
30	35	100
30	40	100
30	45	100
30	50	100
30	55	100
30	60	0.1376
30	65	-0.526975
30	70	-0.7485
30	75	-0.583275
30	80	1.00064
30	85	1.2727
30	90	1.2727
30	95	1.2727
30	100	1.2727
30	105	-0.2894
30	110	-0.4114
30	115	-0.3651
30	120	-0.1799
30	125	0.01382
30	130	100
30	135	100
30	140	100
30	145	100
30	150	100
30	155	100
30	160	100
30	165	100
30	170	100
30	175	100
30	180	100
35	5	100
35	10	100
35	15	100
35	20	100
35	25	100
35	30	100
35	35	100
35	40	100
35	45	100
35	50	100
35	55	NA
35	60	0.1376
35	65	-0.4114
35	70	-0.7485
35	75	-0.0876
35	80	-0.0876
35	85	0.59255
35	90	1.2727
35	95	1.2727
35	100	0.5257
35	105	0.29284
35	110	0.000350000000000003
35	115	-0.082
35	120	-0.1799
35	125	-0.33225
35	130	-0.7893
35	135	100
35	140	100
35	145	100
35	150	100
35	155	100
35	160	100
35	165	100
35	170	100
35	175	100
35	180	100
40	5	100
40	10	100
40	15	100
40	20	100
40	25	100
40	30	100
40	35	100
40	40	100
40	45	100
40	50	100
40	55	0.1376
40	60	0.1376
40	65	-0.4114
40	70	-0.0876
40	75	-0.0876
40	80	-0.0876
40	85	-0.0876
40	90	-0.0876
40	95	0.9138
40	100	0.70315
40	105	0.1376
40	110	0.1376
40	115	0.1376
40	120	-0.1799
40	125	-0.1799
40	130	-0.1799
40	135	100
40	140	100
40	145	100
40	150	100
40	155	100
40	160	100
40	165	100
40	170	100
40	175	100
40	180	100
45	5	100
45	10	100
45	15	100
45	20	100
45	25	100
45	30	100
45	35	100
45	40	100
45	45	100
45	50	NA
45	55	0.1376
45	60	-0.4114
45	65	-0.4114
45	70	-0.0876
45	75	-0.0876
45	80	-0.0876
45	85	-0.0876
45	90	-0.0876
45	95	0.4048
45	100	0.8806
45	105	0.8806
45	110	0.5091
