phi	theta	svalue
5	5	100
5	10	100
5	15	100
5	20	100
5	25	100
5	30	100
5	35	100
5	40	100
5	45	100
5	50	100
5	55	100
5	60	100
5	65	100
5	70	100
5	75	100
5	80	100
5	85	100
5	90	100
5	95	100
5	100	100
5	105	100
5	110	100
5	115	100
5	120	100
5	125	100
5	130	100
5	135	100
5	140	100
5	145	100
5	150	100
5	155	100
5	160	100
5	165	100
5	170	100
5	175	100
5	180	100
10	5	100
10	10	100
10	15	100
10	20	100
10	25	100
10	30	100
10	35	100
10	40	100
10	45	100
10	50	100
10	55	100
10	60	100
10	65	100
10	70	100
10	75	100
10	80	100
10	85	0
10	90	0
10	95	0
10	100	0
10	105	100
10	110	100
10	115	100
10	120	100
10	125	100
10	130	100
10	135	100
10	140	100
10	145	100
10	150	100
10	155	100
10	160	100
10	165	100
10	170	100
10	175	100
10	180	100
15	5	100
15	10	100
15	15	100
15	20	100
15	25	100
15	30	100
15	35	100
15	40	100
15	45	100
15	50	100
15	55	100
15	60	100
15	65	100
15	70	100
15	75	100
15	80	0
15	85	0
15	90	0
15	95	0
15	100	0
15	105	0
15	110	100
15	115	100
15	120	100
15	125	100
15	130	100
15	135	100
15	140	100
15	145	100
15	150	100
15	155	100
15	160	100
15	165	100
15	170	100
15	175	100
15	180	100
20	5	100
20	10	100
20	15	100
20	20	100
20	25	100
20	30	100
20	35	100
20	40	100
20	45	100
20	50	100
20	55	100
20	60	100
20	65	100
20	70	100
20	75	0
20	80	0
20	85	0
20	90	0
20	95	0
20	100	0
20	105	0
20	110	0
20	115	100
20	120	100
20	125	100
20	130	100
20	135	100
20	140	100
20	145	100
20	150	100
20	155	100
20	160	100
20	165	100
20	170	100
20	175	100
20	180	100
25	5	100
25	10	100
25	15	100
25	20	100
25	25	100
25	30	100
25	35	100
25	40	100
25	45	100
25	50	100
25	55	100
25	60	100
25	65	100
25	70	0
25	75	0
25	80	0
25	85	0
25	90	0
25	95	0
25	100	0
25	105	0
25	110	0
25	115	0
25	120	100
25	125	100
25	130	100
25	135	100
25	140	100
25	145	100
25	150	100
25	155	100
25	160	100
25	165	100
25	170	100
25	175	100
25	180	100
30	5	100
30	10	100
30	15	100
30	20	100
30	25	100
30	30	100
30	35	100
30	40	100
30	45	100
30	50	100
30	55	100
30	60	100
30	65	0
30	70	0
30	75	0
30	80	0
30	85	0
30	90	0
30	95	0
30	100	0
30	105	0
30	110	0
30	115	0
30	120	0
30	125	100
30	130	100
30	135	100
30	140	100
30	145	100
30	150	100
30	155	100
30	160	100
30	165	100
30	170	100
30	175	100
30	180	100
35	5	100
35	10	100
35	15	100
35	20	100
35	25	100
35	30	100
35	35	100
35	40	100
35	45	100
35	50	100
35	55	100
35	60	100
35	65	0
35	70	0
35	75	0
35	80	0
35	85	0
35	90	0
35	95	0
35	100	0
35	105	0
35	110	0
35	115	0
35	120	0
35	125	100
35	130	100
35	135	100
35	140	100
35	145	100
35	150	100
35	155	100
35	160	100
35	165	100
35	170	100
35	175	100
35	180	100
40	5	100
40	10	100
40	15	100
40	20	100
40	25	100
40	30	100
40	35	100
40	40	100
40	45	100
40	50	100
40	55	100
40	60	0
40	65	0
40	70	0
40	75	0
40	80	0
40	85	0
40	90	0
40	95	0
40	100	0
40	105	0
40	110	0
40	115	0
40	120	0
40	125	0
40	130	100
40	135	100
40	140	100
40	145	100
40	150	100
40	155	100
40	160	100
40	165	100
40	170	100
40	175	100
40	180	100
45	5	100
45	10	100
45	15	100
45	20	100
45	25	100
45	30	100
45	35	100
45	40	100
45	45	100
45	50	100
45	55	100
45	60	0
45	65	0
45	70	0
45	75	0
45	80	0
45	85	0
45	90	0
45	95	0
45	100	0
45	105	0
45	110	0
45	115	0
45	120	0
45	125	0
45	130	100
45	135	100
45	140	100
45	145	100
45	150	100
45	155	100
45	160	100
45	165	100
45	170	100
45	175	100
45	180	100
50	5	100
50	10	100
50	15	100
50	20	100
50	25	100
50	30	100
50	35	100
50	40	100
50	45	100
50	50	100
50	55	0
50	60	0
50	65	0
50	70	0
50	75	0
50	80	0
50	85	0
50	90	0
50	95	0
50	100	0
50	105	0
50	110	0
50	115	0
50	120	0
50	125	0
50	130	0
50	135	100
50	140	100
50	145	100
50	150	100
50	155	100
50	160	100
50	165	100
50	170	100
50	175	100
50	180	100
55	5	100
55	10	100
55	15	100
55	20	100
55	25	100
55	30	100
55	35	100
55	40	100
55	45	100
55	50	100
55	55	0
55	60	0
55	65	0
55	70	0
55	75	0
55	80	0
55	85	0
55	90	0
